variable,iv
ocupacion_repre,0.015978249498717973
impgaraoperaforma,0.015807231035037443
impgaraoperarefe,0.015807231035037443
rot_activos_fijos_6m,0.015650503435851237
limite_6m,0.015601167410376982
rat_ventas_sactivo,0.015193531976534846
pat_neto_12var,0.01486873716198046
productividad,0.01481638232245389
rat_pas_patrinet,0.014173773617209211
rat_actcir_ncirc_12m,0.013472023309945713
rat_ven_spas_12m,0.013395086611244337
rat_ebit_spas,0.013014592848226467
limite_12med,0.011780973201834022
captrab_ventas,0.01172402018297426
rat_spas_snet_12med,0.011437330069686823
rat_uneta_spasivo,0.011368659693790209
limite_6med,0.011292879690481478
patrimonio_neto_6m,0.010936080359728734
patrimonio_neto_6var,0.009657214272093474
pasivo_total,0.008911157426199898
margen_bruto,0.007132489800813448
rat_pasivototal_ebit,0.006673835775778963
num_contratos,0.005417040310766093
gastos_admin,0.005378391755152164
margen_bruto_6m,0.005266512720920424
margen_neto,0.005208297406047463
margen_ebit,0.005208297406047463
rat_pasivo_activo,0.005060611619392405
rat_accirc_actotal,0.005060611619392405
rat_pasivot_utneta,0.004778240491132132
rat_pastot_utnet,0.004778240491132132
activo_total,0.004279594231729611
costototalventas,0.003949377965765307
activos_fijos,0.0035017983868274425
patrimonio_neto,0.003031909426524379
margen_bruto_12m,0.0025628872921327696
cob_int_fin_6m,0.002493484614292732
patrimonio_neto_6max,0.0022963307337583085
total_ventas,0.0021799324531150696
rot_activos_fijos,0.002003089491977334
rat_svivo_sact_6med,0.001957051187668251
activo_no_circ,0.001839497677745731
patrimonio_neto_6med,0.0015617695906058567
margen_operativo,0.0015306552672547176
margen_ebitda,0.0015306552672547176
rat_svivo_sact,0.0013741041794212846
pat_neto_12med,0.0012641043868409192
rat_pas_patrinet_6m,0.0012043321808505357
margen_operativo_6m,0.0009831808380686181
utilidad_bruta,0.0005025731092554732
pat_neto_12max,0.0004182325806331689
productos_fin,0.0003597683239816641
rat_pasivo_activo_6m,0.0003443389495012962
