variable,var_type,bin,count,bads,goods,dist_bad,dist_good,woe,iv_component,iv_total
ut_bruta_paslp_12m,num,bin_1,2326,166,2160,0.17965367965367965,0.13012048192771083,0.3225701903812831,0.015977933020659498,0.0188819714840814
ut_bruta_paslp_12m,num,bin_6,15198,758,14440,0.8203463203463204,0.8698795180722891,-0.058628124101495115,0.002904038463421992,0.0188819714840814
rat_actcir_ncirc_12m,num,bin_1,762,22,740,0.023809523809523808,0.04457831325301205,-0.6271618301369491,0.013025391997107035,0.0134720233099457
rat_actcir_ncirc_12m,num,bin_2,16762,902,15860,0.9761904761904762,0.9554216867469879,0.021504927576735243,0.00044663131283867837,0.0134720233099457
tasa_impuestos_12m,num,bin_1,4522,346,4176,0.37445887445887444,0.251566265060241,0.3977755481981998,0.048883675073048666,0.0803153154595104
tasa_impuestos_12m,num,bin_2,752,50,702,0.05411255411255411,0.04228915662650602,0.24653550410528535,0.0029148872594600295,0.0803153154595104
tasa_impuestos_12m,num,bin_3,12250,528,11722,0.5714285714285714,0.7061445783132531,-0.21168051062716278,0.02851675312700179,0.0803153154595104
rat_paslp_ebit_12m,num,bin_1,5271,391,4880,0.4231601731601732,0.29397590361445786,0.3642529638411234,0.04705575306367738,0.0731619221040493
rat_paslp_ebit_12m,num,bin_6,12253,533,11720,0.5768398268398268,0.7060240963855422,-0.2020847362622087,0.02610616904037197,0.0731619221040493
rat_pastot_ebit_12m,num,bin_1,3768,286,3482,0.30952380952380953,0.2097590361445783,0.3890755931946688,0.03881603838245609,0.0522799356190567
rat_pastot_ebit_12m,num,bin_6,13756,638,13118,0.6904761904761905,0.7902409638554216,-0.13495642580594047,0.013463897236600677,0.0522799356190567
rat_pastot_utnet_12m,num,bin_1,5274,392,4882,0.42424242424242425,0.29409638554216866,0.3663974915405077,0.04768518211370749,0.0742079046815051
rat_pastot_utnet_12m,num,bin_8,12250,532,11718,0.5757575757575758,0.7059036144578313,-0.20379200806013906,0.026522722567797648,0.0742079046815051
antig_pasivo_12m,num,bin_1,13421,787,12634,0.8517316017316018,0.7610843373493976,0.1125272796617079,0.010200290069705062,0.0534468744051752
antig_pasivo_12m,num,bin_9,4103,137,3966,0.14826839826839827,0.2389156626506024,-0.47708648054866587,0.043246584335470205,0.0534468744051752
antig_activo_12m,num,bin_1,12369,773,11596,0.8365800865800865,0.6985542168674699,0.18030946124882616,0.02488737020628258,0.1093960736065458
antig_activo_12m,num,bin_8,5155,151,5004,0.1634199134199134,0.3014457831325301,-0.612267132068927,0.08450870340026322,0.1093960736065458
